Question ID,Topic,Question,Status,Short Notes,Solution Link
Q001,Topic 1 - Memory Management (18),Fixed-size memory pool allocator,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L3
Q002,Topic 1 - Memory Management (18),Pool with guard-byte corruption check,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L65
Q003,Topic 1 - Memory Management (18),Pool with leak counter + stats API,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L103
Q004,Topic 1 - Memory Management (18),Variable-size free-list allocator (first-fit),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L143
Q005,Topic 1 - Memory Management (18),Free-list block split logic,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L203
Q006,Topic 1 - Memory Management (18),Free-list coalescing (prev/next/both),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L226
Q007,Topic 1 - Memory Management (18),Buddy allocator (allocate by order),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L280
Q008,Topic 1 - Memory Management (18),Buddy allocator (free + recursive merge),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L334
Q009,Topic 1 - Memory Management (18),Slab allocator for fixed objects,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L397
Q010,Topic 1 - Memory Management (18),Slab cache with ctor/dtor hooks,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L438
Q011,Topic 1 - Memory Management (18),Bitmap allocator for IDs/blocks,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L476
Q012,Topic 1 - Memory Management (18),Bump/region allocator with reset,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L509
Q013,Topic 1 - Memory Management (18),Cache-aligned allocator (64B),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L558
Q014,Topic 1 - Memory Management (18),Zero-copy message buffer,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L588
Q015,Topic 1 - Memory Management (18),Circular DMA buffer read index logic,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L643
Q016,Topic 1 - Memory Management (18),Double-buffer DMA manager,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L664
Q017,Topic 1 - Memory Management (18),ISR-safe object allocation pool,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L699
Q018,Topic 1 - Memory Management (18),Canary/poison corruption detector,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/01_memory_management_solutions.md#L764
Q019,Topic 2 - Bit Manipulation (16),Reverse bits (32-bit),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L3
Q020,Topic 2 - Bit Manipulation (16),Reverse bits (64-bit),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L26
Q021,Topic 2 - Bit Manipulation (16),Count set bits (Kernighan),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L48
Q022,Topic 2 - Bit Manipulation (16),Count set bits (LUT),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L70
